transaction_amount,account_age_days,previous_transactions,failed_transactions,transaction_hour,is_international,device_change,is_fraud
4258,495,89,0,22,0,0,0
62780,1610,16,0,20,1,0,0
20409,718,87,4,11,0,0,0
7070,1017,91,1,15,0,1,0
72574,1338,98,7,13,1,0,1
86804,606,30,2,22,1,0,1
46640,375,76,0,9,0,0,0
20484,1961,34,1,13,0,0,0
18117,1049,15,9,6,0,0,0
75980,1358,78,9,3,0,0,1
8802,116,17,6,1,1,0,1
484,2096,61,5,23,0,1,1
504,1802,26,7,17,0,1,1
41043,2147,34,6,15,1,1,1
48026,1483,44,9,8,1,0,1
29289,1547,34,7,4,0,1,1
12863,1621,27,2,8,1,0,0
18484,2453,8,5,7,1,0,1
60200,685,75,6,23,1,0,1
98242,1472,14,9,19,0,1,1
9960,1600,20,0,15,0,1,0
80742,2306,51,0,19,0,0,0
50712,2169,34,6,17,1,0,1
23674,810,96,2,3,0,1,0
23624,978,50,2,15,0,1,0
69272,2102,82,4,3,0,1,0
11016,1355,54,5,5,1,1,1
4909,784,86,1,2,0,1,0
32301,241,76,2,17,0,1,0
53430,1779,43,5,14,0,1,1
13556,1554,64,2,7,0,0,0
56497,483,92,4,17,1,0,0
38865,1013,87,8,23,0,1,1
34916,187,79,2,22,0,1,0
45206,1882,24,5,2,1,0,1
54032,2310,86,4,5,1,1,1
17200,953,91,4,21,1,0,0
57191,1388,46,5,20,1,0,1
22049,491,79,5,23,1,1,1
70180,431,55,0,14,0,0,0
37844,239,37,8,11,1,1,1
45643,2352,10,4,4,1,1,1
92293,2346,66,0,6,1,0,1
36287,76,14,7,21,0,0,0
7339,1357,0,6,14,0,0,0
14589,1924,6,6,6,0,1,1
58117,1782,0,4,12,1,1,1
61977,827,48,0,2,0,1,0
43225,2331,95,8,22,1,1,1
50022,591,72,8,12,1,1,1
94174,2120,28,7,2,0,1,1
32149,1903,25,4,1,0,1,0
37231,1911,86,2,22,0,0,0
43044,575,44,7,3,1,1,1
74063,892,92,0,16,0,0,0
24385,2060,96,2,5,0,0,0
37726,141,70,6,10,0,1,1
42908,1790,11,3,5,0,0,0
88564,17,94,6,21,0,0,1
53971,1087,31,4,1,1,0,0
19298,253,19,5,16,1,1,1
19858,465,50,6,2,0,0,0
15354,376,80,9,11,1,1,1
44338,1828,35,6,13,1,1,1
1352,520,66,6,1,1,1,1
39864,1861,0,6,21,0,0,0
77809,90,26,6,21,1,0,1
37541,720,39,2,4,0,1,0
92334,630,96,2,9,1,1,1
53782,1885,83,6,9,0,1,1
59594,76,13,1,20,1,0,0
81417,926,99,1,8,1,0,1
65315,2448,68,2,20,0,0,0
78687,1806,86,3,12,0,0,0
7049,970,78,5,9,1,0,1
55493,1095,5,7,5,0,0,0
73653,2029,32,9,10,0,0,1
7041,1405,54,9,3,0,1,1
26034,195,18,6,13,0,0,0
23486,228,76,3,16,1,1,1
61986,1460,28,1,19,0,0,0
75845,461,60,1,1,1,1,1
83351,618,69,3,9,1,0,1
94556,64,78,5,2,0,0,1
53513,2213,79,2,6,0,0,0
56900,2075,23,5,6,0,1,1
97339,285,22,4,0,0,0,0
42418,1684,9,4,7,1,0,0
70273,2329,53,1,22,1,1,1
70490,838,40,7,0,0,0,1
52429,831,48,4,7,1,0,0
43188,1188,16,1,13,0,1,0
39911,224,55,6,13,1,0,1
55579,784,44,8,1,1,1,1
85492,950,29,8,7,1,1,1
87469,45,43,0,18,0,1,1
20063,1811,73,6,9,0,0,0
55223,471,54,8,6,1,0,1
92805,2082,18,5,12,0,1,1
73577,830,28,0,21,0,1,1
14488,1910,1,1,20,1,0,0
5669,2269,35,3,14,0,0,0
69936,1892,18,3,10,0,0,0
36686,692,6,1,13,1,1,1
12115,1391,25,7,10,1,0,1
45102,932,78,1,1,1,1,1
6354,841,37,2,1,1,1,1
17244,1939,2,3,11,0,0,0
24314,1574,79,8,14,0,0,0
80819,2287,65,9,16,1,1,1
71874,2489,94,0,13,1,1,1
6190,148,91,7,15,0,0,0
11737,1033,70,4,7,0,1,0
22515,1312,93,6,23,0,0,0
24171,388,42,7,16,1,0,1
58343,1874,61,4,4,1,1,1
41340,916,70,7,11,1,1,1
83907,1879,99,9,5,1,0,1
33534,278,92,7,17,0,1,1
69824,1978,23,8,4,1,1,1
75797,1860,38,1,5,1,0,1
28832,1826,67,2,8,0,1,0
11414,1834,92,0,14,1,0,0
24054,618,43,3,9,0,1,0
57208,1631,4,4,16,1,0,0
87144,2183,54,0,18,0,1,1
87605,580,92,7,11,0,1,1
36768,1171,29,1,8,0,1,0
23161,490,28,0,14,1,1,1
79352,1183,25,1,13,1,1,1
39849,384,82,4,0,1,1,1
17007,163,25,8,16,1,1,1
18877,2489,36,8,0,1,1,1
93329,1877,90,1,22,1,0,1
51845,1213,93,1,20,0,1,0
91965,2463,52,2,21,1,1,1
81918,1363,29,6,12,1,1,1
23724,1631,2,2,7,0,1,0
23421,1205,42,0,12,0,1,0
10588,288,6,5,15,1,0,1
22674,1858,48,2,1,0,0,0
5340,187,72,0,12,1,1,1
43321,1908,40,3,17,0,1,0
10578,1162,76,0,2,1,1,1
55745,130,78,0,12,0,1,0
19362,2242,53,1,18,0,0,0
52896,2364,68,9,12,1,1,1
4532,1888,92,7,18,1,0,1
95357,144,98,1,3,0,1,1
64391,16,90,1,18,0,0,0
79204,2471,26,9,17,0,0,1
59499,245,7,9,5,0,0,0
79814,927,31,7,18,1,1,1
50528,2177,83,5,3,0,1,1
87831,907,63,3,3,0,1,1
402,887,9,2,23,1,1,1
82658,341,12,0,6,1,1,1
155,2052,62,2,6,1,0,0
8817,1434,92,8,22,1,0,1
28799,306,34,4,15,1,0,0
73786,908,60,5,15,1,1,1
67761,1372,53,4,4,0,0,0
44347,321,7,0,14,0,1,0
16848,559,28,9,22,0,0,0
4721,1205,94,0,3,1,1,1
15134,1410,40,3,23,1,0,0
5226,1642,29,2,12,0,1,0
5222,1132,85,7,18,0,0,0
18130,2458,20,6,6,1,0,1
82938,818,75,6,11,1,0,1
84817,1195,10,7,8,0,1,1
55758,12,1,9,16,0,0,1
38738,195,49,6,1,0,0,0
67167,2230,40,9,15,0,0,0
88969,656,65,1,6,0,1,1
34774,1922,97,3,17,1,0,0
35954,2078,2,5,6,0,1,1
46371,1620,79,2,0,0,0,0
73788,1120,50,2,2,1,0,1
38618,778,67,5,20,0,1,1
10367,444,86,0,10,1,1,1
90925,298,83,0,21,1,0,1
1162,808,24,4,14,0,1,0
50548,1761,29,0,2,0,1,0
95562,845,81,9,23,1,1,1
6329,1016,10,7,12,1,0,1
56893,1385,92,1,3,1,0,0
48015,1398,16,5,22,0,0,0
4732,554,25,9,21,0,1,1
3696,2351,22,9,7,0,1,1
6268,421,55,4,21,0,1,0
7661,1270,51,9,3,0,1,1
73894,1261,47,3,17,1,0,1
82252,185,19,0,6,0,1,1
26834,468,1,2,10,0,0,0
6471,2411,87,3,3,1,1,1
26169,1307,30,1,12,0,0,0
80005,1577,26,1,8,0,0,0
13010,336,1,1,8,0,1,0
73579,2210,77,0,22,1,1,1
77835,1498,3,9,20,1,1,1
81364,2060,12,1,18,0,0,0
23375,1448,99,5,2,0,1,1
72374,588,34,2,11,0,0,0
81549,1882,71,9,10,1,1,1
60104,201,65,4,19,1,0,0
63081,522,5,0,10,0,1,0
84759,1888,30,7,16,0,0,1
54653,1712,9,3,20,0,0,0
48547,788,20,8,13,0,0,0
34629,60,73,3,15,1,1,1
75803,578,22,1,23,1,0,1
76190,321,2,2,9,0,1,1
17360,1459,31,4,3,1,0,0
3912,2038,19,9,9,1,1,1
28124,923,73,5,19,0,1,1
58756,1410,28,6,11,0,0,0
27385,1695,51,3,8,0,0,0
92536,569,45,6,14,0,1,1
1705,1102,33,9,8,1,0,1
71258,527,83,2,6,0,1,1
72403,2173,60,6,23,0,1,1
27239,871,71,3,11,0,1,0
77249,280,70,7,19,0,1,1
56238,1893,69,8,23,1,1,1
76225,1752,10,6,13,0,1,1
14018,674,81,7,21,0,1,1
85755,1152,92,7,15,1,1,1
27546,2362,88,1,18,0,1,0
13146,332,62,8,22,0,0,0
24918,1174,20,5,2,0,1,1
4424,2040,2,3,10,1,1,1
76423,1478,81,4,22,0,1,1
9211,36,87,9,20,0,0,0
38210,1709,9,4,19,0,0,0
16489,1444,26,6,18,1,0,1
41527,2254,11,8,7,0,0,0
79679,1380,6,6,19,0,0,1
28846,440,16,8,7,0,0,0
87986,1120,64,3,2,1,1,1
217,164,63,9,9,1,0,1
84571,148,25,9,12,0,0,1
13334,2342,14,3,8,0,0,0
53541,195,32,5,5,1,0,1
946,663,61,7,14,0,0,0
11054,480,46,8,15,1,1,1
79339,123,94,0,4,1,1,1
46614,1424,34,0,20,1,0,0
88336,965,64,7,12,0,1,1
97679,1779,71,6,18,1,0,1
6569,1486,75,8,1,1,1,1
30205,2015,82,2,5,0,1,0
42201,710,24,9,0,0,0,0
64423,2444,56,4,14,0,0,0
92022,912,31,2,14,1,0,1
58167,1361,62,4,13,1,1,1
49476,2365,11,9,6,0,1,1
45687,1735,62,0,4,1,0,0
37076,1824,76,3,19,0,0,0
67684,1580,91,5,15,0,1,1
78577,681,0,1,16,0,0,0
42633,1334,50,6,10,0,1,1
1928,556,69,7,14,0,1,1
2017,610,7,0,19,1,0,0
20718,2157,67,3,15,1,1,1
32354,372,4,3,2,0,1,0
47462,616,88,4,5,1,1,1
20228,1915,85,3,20,1,1,1
59483,2254,91,8,22,0,0,0
65645,847,38,6,12,1,1,1
82280,43,22,1,0,1,0,1
88058,865,67,0,20,0,1,1
9965,1269,51,8,13,1,0,1
2319,1379,3,0,1,1,1,1
39909,785,46,5,1,1,1,1
5387,476,20,1,14,1,0,0
34487,83,55,3,17,1,1,1
8612,1134,65,5,8,0,0,0
1442,2238,58,4,2,0,1,0
63176,800,6,5,3,0,0,0
19316,936,48,2,14,0,0,0
93170,2299,15,4,4,0,1,1
79867,2339,16,1,19,1,1,1
97929,1669,83,6,19,1,1,1
26714,326,86,2,4,0,1,0
36358,1535,97,0,9,0,1,0
93889,1986,74,7,15,0,1,1
42178,1965,33,7,11,1,1,1
83624,837,32,2,13,1,1,1
96673,508,25,6,21,1,1,1
12319,2120,65,8,10,1,0,1
335,1271,62,7,18,1,0,1
43029,641,86,2,5,1,0,0
67544,1879,40,1,9,0,1,0
8667,608,85,9,19,1,0,1
70892,1959,57,6,2,0,1,1
65541,566,97,6,21,0,1,1
84655,1368,78,8,14,1,1,1
73798,2102,9,4,10,1,1,1
5515,1754,14,3,21,1,0,0
36259,1582,41,7,1,1,0,1
44025,1987,92,3,23,1,0,0
6051,2241,56,3,5,1,1,1
87488,2106,86,1,16,1,1,1
8107,129,16,0,17,1,0,0
41932,1873,59,3,3,0,1,0
58696,706,8,6,22,0,0,0
30623,852,35,8,8,1,0,1
88961,8,72,8,9,0,0,1
86840,2077,79,9,20,1,1,1
15624,1136,35,0,1,0,0,0
19382,2179,47,4,10,0,1,0
24030,2236,50,6,10,1,0,1
177,1699,96,6,10,1,1,1
20711,1499,94,9,0,1,1,1
17084,2260,69,5,13,0,0,0
14160,1645,73,9,0,0,1,1
83085,276,79,3,20,1,1,1
84156,1703,67,2,22,0,1,1
43403,1796,21,8,8,1,0,1
59307,243,76,9,23,0,1,1
75146,171,79,3,0,1,0,1
29387,653,92,7,20,0,0,0
93809,1933,5,0,21,1,1,1
39811,2236,25,6,21,1,0,1
12054,1110,74,5,3,1,0,1
73440,1500,87,0,0,0,0,0
72201,2100,92,3,18,1,0,1
71620,2159,2,4,9,0,0,0
87162,1973,51,7,14,1,1,1
18674,1067,73,3,19,1,1,1
9284,2259,59,2,3,1,0,0
19196,2036,62,1,19,0,0,0
67828,858,64,3,13,0,1,0
34116,1050,51,9,4,0,1,1
11346,299,89,3,14,1,1,1
45658,924,75,9,14,0,0,0
18481,137,13,4,15,1,0,0
36555,1044,88,6,15,1,1,1
92363,2488,71,8,3,1,0,1
4118,211,67,1,8,1,1,1
11402,1575,27,4,0,1,1,1
67606,2483,70,9,4,0,0,0
41257,780,9,8,8,0,1,1
55017,1231,56,2,19,1,1,1
92838,2487,99,0,4,1,1,1
96746,1803,65,1,3,0,1,1
83222,1066,89,5,15,1,1,1
24619,411,49,4,1,1,0,0
96909,427,13,0,15,1,1,1
87587,1472,15,0,17,1,0,1
56919,942,53,3,1,0,0,0
81010,1908,42,3,15,1,1,1
71424,742,41,5,0,0,1,1
5508,1393,80,5,15,0,1,1
59479,1244,21,9,2,0,0,0
25153,1601,67,5,14,0,0,0
9546,1256,18,0,10,1,0,0
1022,328,65,9,9,1,1,1
98823,1467,38,8,16,1,1,1
51456,2100,72,6,3,0,1,1
10889,1967,18,6,16,0,1,1
97820,376,15,6,3,0,1,1
66756,263,53,1,18,1,0,0
44128,267,24,1,0,1,0,0
64584,2407,17,5,13,1,0,1
32254,1945,22,6,23,0,1,1
82970,1894,84,2,10,0,1,1
2436,1902,10,3,6,1,0,0
67879,1653,38,2,16,0,1,0
19129,1445,67,6,3,0,0,0
59301,46,24,6,9,1,1,1
32365,600,62,3,16,0,1,0
43972,720,95,6,3,0,1,1
46297,1913,29,4,18,1,1,1
55280,1293,44,0,17,0,0,0
23810,601,89,9,16,0,1,1
29586,381,60,3,5,0,0,0
72007,118,99,6,6,0,0,1
71995,2164,50,1,5,1,0,1
64535,260,97,1,11,1,0,0
40731,1099,8,0,8,0,0,0
20203,1504,75,1,17,1,1,1
64872,2353,1,9,1,1,0,1
14482,2055,4,7,16,1,0,1
84391,366,61,7,20,0,0,1
3856,1658,68,7,0,0,0,0
20709,1462,51,0,22,1,0,0
16578,2025,85,0,8,1,1,1
39766,2477,4,9,5,1,0,1
75783,791,58,3,1,1,1,1
99197,747,67,5,5,0,0,1
71415,2415,8,7,8,1,1,1
77934,313,92,1,2,0,1,1
14253,538,21,2,15,0,1,0
76425,921,26,5,23,0,1,1
13099,1078,9,9,14,0,1,1
55418,1491,79,3,11,0,1,0
914,2382,60,1,22,0,1,0
76177,798,50,6,7,0,0,1
90574,348,9,3,5,1,1,1
2543,273,5,7,2,0,0,0
76093,720,61,7,22,1,0,1
76016,1774,4,6,3,1,0,1
73419,685,69,9,9,1,1,1
17468,2127,62,8,13,1,0,1
15428,622,55,3,20,1,1,1
57042,2040,58,6,23,0,1,1
91851,947,62,9,14,0,1,1
99231,2406,88,9,6,1,0,1
27406,507,58,0,6,1,0,0
85551,1583,50,3,7,1,1,1
40015,244,49,1,9,0,1,0
37319,506,3,8,18,1,1,1
80979,422,47,4,18,0,1,1
64744,2265,31,2,1,0,0,0
60379,1873,50,3,14,1,0,0
53128,1193,51,5,0,0,0,0
226,330,98,9,9,0,0,0
52429,650,73,0,5,0,0,0
27732,1465,33,6,21,1,1,1
65410,391,35,7,12,1,1,1
55276,1520,69,6,9,1,0,1
86166,381,42,6,11,1,1,1
44427,742,15,8,23,1,0,1
69004,2011,58,3,5,1,1,1
3897,820,52,6,5,1,1,1
47982,673,18,8,0,1,1,1
13818,1772,97,4,11,0,0,0
34660,1212,88,1,22,1,0,0
76689,930,94,4,22,0,0,0
22216,1540,40,3,9,0,1,0
36344,913,80,7,13,1,1,1
1745,644,46,4,14,0,1,0
47623,427,93,8,22,0,1,1
19356,502,53,8,23,1,1,1
53273,730,54,2,3,0,0,0
37530,1284,94,9,0,1,0,1
39382,2119,18,5,7,0,1,1
63474,457,61,5,2,0,0,0
68344,2237,98,3,13,1,1,1
11794,291,92,9,16,0,1,1
56364,920,58,2,1,0,0,0
75160,2340,64,0,14,1,1,1
97516,1970,67,6,5,1,0,1
57645,756,27,4,4,0,0,0
39324,1659,17,9,13,0,0,0
98045,1835,25,6,18,1,1,1
13324,1307,18,0,8,0,0,0
40838,1568,54,7,7,1,1,1
25250,1870,56,2,2,1,1,1
63831,377,5,6,17,1,1,1
49788,1180,0,2,7,0,1,0
73609,508,7,2,15,0,1,1
8677,1437,96,9,14,0,1,1
8170,559,50,8,20,1,1,1
8766,2308,84,1,14,0,1,0
57861,421,87,3,15,1,0,0
36468,1553,24,5,0,0,0,0
6883,304,46,2,9,1,1,1
42014,942,54,9,18,1,1,1
70607,1302,63,9,4,0,0,1
79126,1090,82,6,17,1,0,1
67626,2156,92,6,2,0,0,0
70935,2316,9,4,3,0,0,0
45865,2270,55,2,3,0,0,0
20056,1828,11,1,10,0,0,0
87995,1554,32,3,8,0,1,1
46340,693,70,3,0,1,0,0
37248,255,16,7,15,0,0,0
94370,1479,60,7,8,1,0,1
4857,2301,9,4,10,0,0,0
19197,257,30,5,5,1,1,1
10495,2431,59,7,16,1,1,1
16341,442,69,0,11,0,1,0
27796,1882,16,4,21,1,1,1
70580,1114,49,3,7,0,1,1
46263,2438,36,3,15,0,1,0
19916,582,81,1,4,0,1,0
49940,1736,61,9,20,1,1,1
52953,19,89,0,0,1,0,1
25017,1125,79,5,16,1,0,1
96831,1381,71,6,23,1,1,1
21666,1566,87,4,20,0,1,0
75552,2081,76,7,7,0,1,1
62923,1994,28,8,9,1,0,1
20906,1548,31,1,17,1,1,1
75620,862,87,3,14,0,1,1
1859,155,79,8,19,1,1,1
42049,905,10,4,12,0,1,0
92474,1270,95,2,9,1,0,1
2582,405,5,5,8,1,1,1
24542,844,34,2,12,1,0,0
33819,1783,32,4,2,0,0,0
58166,1565,17,2,21,0,1,0
93601,1185,36,5,22,1,0,1
2179,747,12,9,2,1,1,1
2817,1726,73,4,0,1,0,0
59776,271,89,8,1,1,1,1
28052,770,80,2,10,1,0,0
86544,1716,63,5,13,1,0,1
42560,1511,0,7,9,1,1,1
90497,172,62,6,6,1,0,1
72947,274,88,5,22,0,1,1
93707,2307,33,1,0,0,1,1
89206,1159,9,6,6,0,0,1
18549,1707,83,7,14,0,1,1
33636,1772,6,0,10,1,1,1
64177,422,55,8,5,0,1,1
38358,1445,79,3,21,0,1,0
48402,1210,36,7,6,1,0,1
28965,2412,28,9,6,0,0,0
6745,2426,11,6,0,0,0,0
38100,580,16,9,9,0,1,1
26837,891,47,6,20,0,0,0
11585,722,83,1,14,0,0,0
38665,881,25,0,7,1,0,0
25622,1122,82,3,23,1,1,1
65255,2008,11,1,18,1,0,0
55268,2070,20,7,2,0,1,1
52587,1474,41,9,22,0,0,0
12442,383,60,6,14,0,0,0
40906,2182,57,7,3,1,1,1
48870,1450,53,5,5,0,0,0
78723,1591,33,0,9,0,1,1
99885,1787,6,8,17,0,1,1
75729,144,34,5,15,0,0,1
52703,1887,14,9,17,1,1,1
82074,1703,64,0,5,1,1,1
26499,1436,89,0,18,0,1,0
85482,224,98,7,16,1,1,1
81344,220,24,5,17,1,0,1
76634,179,58,7,12,1,1,1
55206,1655,78,7,6,0,1,1
30778,433,85,7,19,1,0,1
76318,265,5,9,11,1,0,1
63330,954,51,6,1,0,0,0
74155,429,78,6,11,1,1,1
56473,2464,87,9,11,1,1,1
31580,2245,20,3,23,1,1,1
85330,1578,70,8,3,0,1,1
68936,480,92,1,3,0,0,0
72358,1354,95,8,17,1,0,1
40086,890,31,9,15,0,1,1
24260,925,52,2,13,0,1,0
85695,2171,58,1,16,0,1,1
79211,1903,68,3,16,1,1,1
65029,1411,61,4,2,1,0,0
73606,1363,3,1,5,0,0,0
35011,778,85,0,22,1,0,0
87227,2396,17,9,12,0,0,1
31921,29,98,4,8,0,1,1
75139,35,80,8,20,1,0,1
60635,1420,55,4,8,0,1,0
84558,589,23,9,7,0,0,1
12275,904,65,8,16,0,0,0
54871,2170,12,9,15,0,1,1
87025,340,61,5,15,1,0,1
66458,175,53,2,18,0,0,0
17427,1924,14,3,23,1,0,0
47157,1715,68,3,15,0,0,0
6250,597,2,0,13,1,1,1
4525,451,36,2,19,0,0,0
16132,557,36,2,13,0,0,0
2298,1160,2,0,13,1,0,0
60600,1357,62,8,13,1,1,1
53494,2057,34,0,11,0,1,0
20179,2382,51,8,5,0,0,0
36320,1017,86,0,19,0,0,0
41974,2375,27,1,12,0,0,0
13959,2063,93,1,15,0,1,0
50560,839,17,5,8,1,0,1
31519,1638,35,6,1,1,0,1
8805,226,32,0,21,0,1,0
42980,1814,63,2,2,1,1,1
23336,2161,25,1,9,1,1,1
88055,2021,47,7,19,0,0,1
85614,1452,39,8,1,1,0,1
15458,2049,16,1,23,0,0,0
99813,2314,39,1,9,1,1,1
95014,1515,6,9,7,1,0,1
77018,1232,56,8,16,1,0,1
14696,1646,7,3,21,1,1,1
33672,1736,55,4,0,1,1,1
78857,306,30,8,5,0,0,1
1379,2060,58,5,6,1,1,1
63297,1724,57,9,14,0,0,0
62616,1690,11,8,17,1,0,1
7183,1518,47,8,8,1,0,1
17871,1392,30,6,7,1,1,1
30075,420,82,9,9,0,0,0
45748,2219,62,8,3,1,1,1
48385,134,73,4,19,1,1,1
19163,2031,38,4,7,0,1,0
67742,1451,75,7,0,0,1,1
90193,1554,19,9,7,0,0,1
86243,1165,47,3,22,1,1,1
37699,1870,70,8,11,1,0,1
52020,1820,53,6,22,1,0,1
28629,1343,77,6,14,1,0,1
36054,1465,74,2,12,0,0,0
27956,2227,70,3,15,0,1,0
2673,1080,28,6,22,1,1,1
78444,1179,73,4,17,0,0,0
35467,1696,92,2,0,0,0,0
99708,111,72,0,16,0,0,0
60874,2185,99,6,15,1,1,1
23852,2280,47,5,22,0,1,1
55129,468,73,9,4,1,0,1
17785,814,82,6,19,1,0,1
51793,1273,55,1,20,1,0,0
56061,994,94,3,9,0,1,0
77008,2032,16,1,5,0,0,0
74632,323,8,7,11,0,1,1
82094,904,96,6,9,0,1,1
56233,1542,33,0,21,1,1,1
97525,2000,44,1,16,1,0,1
61368,1816,87,1,1,1,1,1
92301,2477,8,3,18,0,1,1
38343,148,6,2,19,0,0,0
57484,1142,15,0,5,0,0,0
31753,850,18,1,12,1,0,0
26757,367,5,8,8,1,1,1
40052,1090,10,0,11,0,1,0
22280,2039,75,8,17,1,0,1
97532,175,60,6,7,1,1,1
78511,1855,41,1,17,0,0,0
1722,588,12,1,22,0,0,0
48856,495,11,4,21,1,1,1
40909,1138,84,4,1,0,1,0
16825,1785,73,3,7,1,1,1
61496,1171,19,9,9,0,1,1
51326,35,49,9,8,1,0,1
81282,999,35,2,23,0,0,0
82665,1333,91,3,17,0,1,1
29502,1038,87,9,7,0,1,1
4363,374,68,3,18,1,1,1
96623,1452,36,1,2,1,0,1
46928,1752,11,4,8,0,0,0
48024,2281,98,4,12,1,1,1
74282,705,39,4,8,1,0,1
93165,563,53,9,19,0,0,1
59152,1874,1,0,11,0,0,0
11764,2124,49,5,22,0,0,0
35837,439,40,1,12,1,1,1
89663,1884,44,6,7,0,1,1
29473,1980,8,3,14,1,1,1
36497,699,61,4,12,1,1,1
86245,1313,85,4,20,1,0,1
38809,1564,46,4,12,0,1,0
61220,692,4,1,16,0,1,0
19350,2301,75,4,14,1,1,1
21272,1201,0,2,21,1,1,1
11655,2458,43,3,18,0,1,0
87510,1635,21,1,2,0,0,0
78717,1634,37,3,13,0,1,1
53376,127,18,8,9,0,0,0
57592,1507,79,7,16,0,0,0
53102,1192,30,2,7,0,0,0
89699,294,66,0,17,0,0,0
72455,1367,86,0,11,0,0,0
91348,1020,41,5,16,0,0,1
24862,2358,81,2,22,1,1,1
11146,419,25,3,10,0,0,0
97099,444,12,0,8,0,1,1
28869,685,57,7,21,1,0,1
53402,2284,17,0,23,0,0,0
23250,1463,66,4,23,0,0,0
68347,2262,86,5,22,1,1,1
4953,85,2,1,14,0,0,0
94713,1768,54,6,8,1,0,1
89499,85,88,6,11,1,1,1
21892,1945,90,0,10,0,0,0
59229,2113,57,3,16,1,0,0
74578,1670,62,3,5,1,0,1
67398,663,90,4,7,1,1,1
32087,627,51,0,9,1,0,0
15950,64,88,0,14,0,0,0
12212,919,23,6,3,1,1,1
24158,1376,71,8,17,1,1,1
45520,1182,8,0,10,0,0,0
38990,1613,36,1,8,1,0,0
66117,491,93,5,8,0,0,0
47404,1879,82,5,7,1,0,1
33021,1941,52,1,2,0,1,0
1624,313,79,8,20,1,1,1
15148,919,23,3,17,0,1,0
35211,1883,20,6,13,1,0,1
38004,813,99,5,2,0,1,1
55012,1490,39,2,16,0,1,0
34108,1327,61,7,3,0,0,0
160,680,69,6,20,0,0,0
74766,435,68,8,17,0,0,1
83659,682,13,2,14,1,0,1
55437,1159,41,0,18,1,0,0
13450,1074,49,1,21,0,0,0
24454,1456,60,0,5,0,1,0
45286,2388,3,4,14,1,0,0
28245,2395,71,9,6,1,0,1
34120,1371,87,1,11,0,1,0
86223,649,74,2,15,1,1,1
75286,245,16,7,8,0,1,1
85569,2157,84,9,19,0,1,1
20681,296,56,4,4,0,1,0
89029,2160,89,3,10,1,0,1
23151,1613,47,4,1,0,0,0
51574,2391,43,9,21,1,1,1
91848,2149,44,5,15,1,1,1
69726,1628,90,6,3,1,1,1
7060,28,79,8,4,1,1,1
35872,1986,89,0,6,0,0,0
21620,1561,32,3,5,0,1,0
49581,58,30,8,23,1,1,1
36508,1522,46,4,21,0,0,0
94106,297,5,7,9,1,0,1
57234,2182,71,0,13,0,0,0
20591,2297,70,3,7,0,1,0
1441,902,33,8,13,0,1,1
44723,1965,52,0,13,0,0,0
90427,1099,13,0,19,0,1,1
438,1678,15,3,22,0,1,0
71531,1192,42,2,2,1,0,1
12354,771,72,6,0,0,0,0
51960,1527,73,2,8,0,0,0
11444,1379,80,0,8,0,1,0
1850,1249,11,9,21,1,0,1
54856,1555,69,1,1,0,1,0
68057,146,18,9,15,0,1,1
58153,1984,40,3,7,0,1,0
70955,1265,52,0,5,1,0,1
15996,1908,28,0,22,0,0,0
55861,2392,69,7,12,1,0,1
62652,1773,58,6,0,1,1,1
77554,1059,88,7,18,0,0,1
90700,2049,63,3,14,0,0,0
28035,2020,23,5,0,1,1,1
37741,153,88,2,9,1,1,1
29811,2477,15,7,0,0,0,0
70442,508,51,3,11,0,0,0
12282,491,79,2,10,1,1,1
87933,345,5,3,16,1,1,1
56376,1936,36,5,3,1,1,1
19641,1762,84,6,22,1,0,1
94557,221,3,6,6,0,0,1
82410,1939,97,3,11,1,1,1
44913,1943,91,7,12,0,0,0
37298,723,37,6,4,1,0,1
8920,528,40,1,5,1,0,0
24170,1523,91,7,1,0,1,1
69868,1665,80,8,20,0,0,0
11222,481,13,4,6,0,1,0
80659,1872,70,3,13,0,0,0
73643,1463,85,3,21,1,1,1
83541,1426,50,3,13,0,1,1
41886,345,64,5,9,0,0,0
95034,45,92,3,3,0,0,0
99904,2069,51,6,2,1,1,1
6837,1658,94,6,22,1,1,1
36162,1888,29,4,13,0,0,0
54337,2096,56,4,5,1,1,1
51671,1515,78,9,22,1,1,1
25610,2335,81,7,14,0,0,0
19526,1002,98,6,7,1,0,1
37365,1034,29,6,4,0,0,0
17950,2041,97,5,2,0,0,0
66250,274,41,6,2,0,1,1
87412,956,10,6,12,1,0,1
89713,1780,26,9,1,0,0,1
75010,381,23,1,23,1,0,1
52475,1353,98,9,0,1,0,1
35535,479,38,1,11,1,1,1
96543,2063,71,9,7,1,1,1
57232,516,17,6,18,0,0,0
79045,191,76,9,8,0,0,1
82150,1192,44,6,13,1,0,1
95502,1161,87,6,17,0,0,1
3083,2202,86,4,9,1,1,1
97341,1412,11,0,8,1,1,1
20762,272,48,1,5,0,1,0
23610,143,93,8,0,1,1,1
78287,1913,30,7,4,0,0,1
41098,1093,91,7,9,1,1,1
56946,2295,21,9,12,1,1,1
94171,788,43,0,21,1,0,1
6740,2127,91,5,22,1,1,1
44647,1682,63,8,3,0,1,1
54720,623,76,7,0,1,1,1
15417,938,24,2,20,1,0,0
7664,1119,50,3,1,0,0,0
27445,617,6,2,23,1,0,0
94323,1032,5,5,3,1,0,1
79373,67,23,8,16,1,1,1
74959,191,18,7,9,1,1,1
